### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
SW10          SW_Push             CherryMX_Hotswap              -343.4250  161.4250   -350.5100  163.9650      0.0    top       THD
HM26          CaseHole            spacer_m2                     -67.6350   -13.1338   0.0000     0.0000        0.0    top       VIRTUAL
D45           1N4148              D3_hybrid_common_hole_conne.. -181.2250  -42.2938   -181.2250  -42.2938      0.0    top       VIRTUAL
L7            SK6812MINI_LED      YS-SK6812MINI-E               -103.2900  -38.9638   -100.7900  -38.2138      0.0    top       THD
HM24          CaseHole            spacer_m2                     -27.2350   28.5662    0.0000     0.0000        0.0    top       VIRTUAL
HM28          CaseHole            spacer_m2                     -88.1450   -35.1438   0.0000     0.0000        0.0    top       VIRTUAL
SW23          SW_Push             CherryMX_Hotswap              -370.4250  71.6250    -377.5100  74.1650       0.0    top       THD
L64           SK6812MINI_LED      YS-SK6812MINI-E               -12.6900   51.7362    -10.1900   52.4862       0.0    top       THD
SW36          SW_Push             CherryMX_Hotswap              -343.4250  181.6250   -350.5100  184.1650      0.0    top       THD
L4            SK6812MINI_LED      YS-SK6812MINI-E               -3.9400    65.0962    -1.4400    65.8462       0.0    top       THD
L26           SK6812MINI_LED      YS-SK6812MINI-E               43.2500    98.9162    45.7500    99.6662       0.0    top       THD
D20           1N4148              D3_hybrid_common_hole_conne.. -84.4250   -7.6938    -84.4250   -7.6938       0.0    top       VIRTUAL
SW17          SW_Push             CherryMX_Hotswap              -87.5250   141.9250   -94.6100   144.4650      0.0    top       THD
SW62          SW_Push             CherryMX_Hotswap              -289.6250  90.8250    -296.7100  93.3650       0.0    top       THD
SW51          SW_Push             CherryMX_Hotswap              -370.4250  91.8250    -377.5100  94.3650       0.0    top       THD
L13           SK6812MINI_LED      YS-SK6812MINI-E               34.5000    89.4662    37.0000    90.2162       0.0    top       THD
ENC4          Rotary_Encoder_Sw.. RotaryEncoder_EC11            29.9300    113.1312   0.0000     0.0000        0.0    top       THD
L6            SK6812MINI_LED      YS-SK6812MINI-E               -72.4900   -7.2638    -69.9900   -6.5138       0.0    top       THD
SW28          SW_Push             CherryMX_Hotswap              -303.0250  201.8250   -310.1100  204.3650      0.0    top       THD
L16           SK6812MINI_LED      YS-SK6812MINI-E               43.3400    108.2362   45.8400    108.9862      0.0    top       THD
L56           SK6812MINI_LED      YS-SK6812MINI-E               7.5100     77.4462    10.0100    78.1962       0.0    top       THD
L29           SK6812MINI_LED      YS-SK6812MINI-E               52.0900    114.0362   54.5900    114.7862      0.0    top       THD
SW59          SW_Push             CherryMX_Hotswap              -289.6250  111.0250   -296.7100  113.5650      0.0    top       THD
D56           1N4148              D3_hybrid_common_hole_conne.. -34.4250   45.5062    -34.4250   45.5062       0.0    top       VIRTUAL
D34           1N4148              D3_hybrid_common_hole_conne.. -154.9750  -42.2938   -154.9750  -42.2938      0.0    top       VIRTUAL
SW29          SW_Push             CherryMX_Hotswap              -180.0250  92.9250    -187.1100  95.4650       0.0    top       THD
SW5           SW_Push             CherryMX_Hotswap              -107.7250  141.9250   -114.8100  144.4650      0.0    top       THD
L17           SK6812MINI_LED      YS-SK6812MINI-E               26.0600    88.3262    28.5600    89.0762       0.0    top       THD
D36           1N4148              D3_hybrid_common_hole_conne.. -54.6250   38.5062    -54.6250   38.5062       0.0    top       VIRTUAL
ENC5          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -5.9000    92.9312    0.0000     0.0000        0.0    top       THD
SW30          SW_Push             CherryMX_Hotswap              -127.9250  141.9250   -135.0100  144.4650      0.0    top       THD
HM6           CaseHole            spacer_m2                     2.7650     58.0862    0.0000     0.0000        0.0    top       VIRTUAL
L21           SK6812MINI_LED      YS-SK6812MINI-E               16.2600    78.5862    18.7600    79.3362       0.0    top       THD
SW56          SW_Push             CherryMX_Hotswap              -323.2250  222.0250   -330.3100  224.5650      0.0    top       THD
L25           SK6812MINI_LED      YS-SK6812MINI-E               34.5000    94.1262    37.0000    94.8762       0.0    top       THD
D38           1N4148              D3_hybrid_common_hole_conne.. -189.9750  -42.2938   -189.9750  -42.2938      0.0    top       VIRTUAL
D24           1N4148              D3_hybrid_common_hole_conne.. 40.1550    116.4062   40.1550    116.4062      0.0    top       VIRTUAL
SW55          SW_Push             CherryMX_Hotswap              -181.0250  242.3250   -188.1100  244.8650      0.0    top       THD
SW25          SW_Push             CherryMX_Hotswap              -363.6250  181.6250   -370.7100  184.1650      0.0    top       THD
L42           SK6812MINI_LED      YS-SK6812MINI-E               26.0600    92.9862    28.5600    93.7362       0.0    top       THD
ENC3          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -5.9000    77.6812    0.0000     0.0000        0.0    top       THD
L38           SK6812MINI_LED      YS-SK6812MINI-E               60.5300    118.6962   63.0300    119.4462      0.0    top       THD
D53           1N4148              D3_hybrid_common_hole_conne.. -207.4750  -41.2538   -207.4750  -41.2538      0.0    top       VIRTUAL
D50           1N4148              D3_hybrid_common_hole_conne.. -216.2250  -41.2538   -216.2250  -41.2538      0.0    top       VIRTUAL
L37           SK6812MINI_LED      YS-SK6812MINI-E               -64.0500   -3.2238    -61.5500   -2.4738       0.0    top       THD
SW8           SW_Push             CherryMX_Hotswap              -350.2250  111.0250   -357.3100  113.5650      0.0    top       THD
D54           1N4148              D3_hybrid_common_hole_conne.. -54.6250   32.7062    -54.6250   32.7062       0.0    top       VIRTUAL
D11           1N4148              D3_hybrid_common_hole_conne.. 40.1550    119.3062   40.1550    119.3062      0.0    top       VIRTUAL
SW53          SW_Push             CherryMX_Hotswap              -303.0250  181.6250   -310.1100  184.1650      0.0    top       THD
SW63          SW_Push             CherryMX_Hotswap              -363.6250  201.8250   -370.7100  204.3650      0.0    top       THD
D2            1N4148              D3_hybrid_common_hole_conne.. -163.7250  -42.2938   -163.7250  -42.2938      0.0    top       VIRTUAL
SW21          SW_Push             CherryMX_Hotswap              -196.6250  222.1250   -203.7100  224.6650      0.0    top       THD
L51           SK6812MINI_LED      YS-SK6812MINI-E               -33.9400   34.9962    -31.4400   35.7462       0.0    top       THD
ENC1          Rotary_Encoder_Sw.. RotaryEncoder_EC11            -26.1000   57.4812    0.0000     0.0000        0.0    top       THD
L61           SK6812MINI_LED      YS-SK6812MINI-E               4.8100     67.9962    7.3100     68.7462       0.0    top       THD
