### Module positions - created on 2022-05-02 10:06
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 262.302mm, Pcb Width 344.834mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
HM26          CaseHole            spacer_m2                     -67.6350   -13.1338   0.0000     0.0000        0.0    top       VIRTUAL
D45           1N4148              D3_hybrid_common_hole_conne.. -181.2250  -42.2938   -181.2250  -42.2938      0.0    top       VIRTUAL
HM24          CaseHole            spacer_m2                     -27.2350   28.5662    0.0000     0.0000        0.0    top       VIRTUAL
HM28          CaseHole            spacer_m2                     -88.1450   -35.1438   0.0000     0.0000        0.0    top       VIRTUAL
D20           1N4148              D3_hybrid_common_hole_conne.. -84.4250   -7.6938    -84.4250   -7.6938       0.0    top       VIRTUAL
D56           1N4148              D3_hybrid_common_hole_conne.. -34.4250   45.5062    -34.4250   45.5062       0.0    top       VIRTUAL
D34           1N4148              D3_hybrid_common_hole_conne.. -154.9750  -42.2938   -154.9750  -42.2938      0.0    top       VIRTUAL
D36           1N4148              D3_hybrid_common_hole_conne.. -54.6250   38.5062    -54.6250   38.5062       0.0    top       VIRTUAL
HM6           CaseHole            spacer_m2                     2.7650     58.0862    0.0000     0.0000        0.0    top       VIRTUAL
D38           1N4148              D3_hybrid_common_hole_conne.. -189.9750  -42.2938   -189.9750  -42.2938      0.0    top       VIRTUAL
D24           1N4148              D3_hybrid_common_hole_conne.. 40.1550    116.4062   40.1550    116.4062      0.0    top       VIRTUAL
D53           1N4148              D3_hybrid_common_hole_conne.. -207.4750  -41.2538   -207.4750  -41.2538      0.0    top       VIRTUAL
D50           1N4148              D3_hybrid_common_hole_conne.. -216.2250  -41.2538   -216.2250  -41.2538      0.0    top       VIRTUAL
D54           1N4148              D3_hybrid_common_hole_conne.. -54.6250   32.7062    -54.6250   32.7062       0.0    top       VIRTUAL
D11           1N4148              D3_hybrid_common_hole_conne.. 40.1550    119.3062   40.1550    119.3062      0.0    top       VIRTUAL
D2            1N4148              D3_hybrid_common_hole_conne.. -163.7250  -42.2938   -163.7250  -42.2938      0.0    top       VIRTUAL
D62           1N4148              D3_hybrid_common_hole_conne.. -101.8250  -22.0938   -101.8250  -22.0938      0.0    top       VIRTUAL
D13           1N4148              D3_hybrid_common_hole_conne.. -110.5750  -30.7938   -110.5750  -30.7938      0.0    top       VIRTUAL
HM21          CaseHole            spacer_m2                     -38.9950   15.1262    0.0000     0.0000        0.0    top       VIRTUAL
HM27          CaseHole            spacer_m2                     -5.9850    50.5262    0.0000     0.0000        0.0    top       VIRTUAL
D33           1N4148              D3_hybrid_common_hole_conne.. -95.0250   -17.0638   -95.0250   -17.0638      0.0    top       VIRTUAL
D35           1N4148              D3_hybrid_common_hole_conne.. -15.8750   59.9062    -15.8750   59.9062       0.0    top       VIRTUAL
HM5           CaseHole            spacer_m2                     -35.9850   20.4262    0.0000     0.0000        0.0    top       VIRTUAL
HM25          CaseHole            spacer_m2                     -74.7450   -17.1738   0.0000     0.0000        0.0    top       VIRTUAL
D31           1N4148              D3_hybrid_common_hole_conne.. -66.0750   12.5062    -66.0750   12.5062       0.0    top       VIRTUAL
D61           1N4148              D3_hybrid_common_hole_conne.. -7.1250    68.6062    -7.1250    68.6062       0.0    top       VIRTUAL
HM13          CaseHole            spacer_m2                     67.2350    118.1062   0.0000     0.0000        0.0    top       VIRTUAL
HM8           CaseHole            spacer_m2                     -0.6850    50.5262    0.0000     0.0000        0.0    top       VIRTUAL
D64           1N4148              D3_hybrid_common_hole_conne.. -115.2250  -34.3438   -115.2250  -34.3438      0.0    top       VIRTUAL
HM7           CaseHole            spacer_m2                     -18.4850   37.1662    0.0000     0.0000        0.0    top       VIRTUAL
D8            1N4148              D3_hybrid_common_hole_conne.. -95.0250   -11.2638   -95.0250   -11.2638      0.0    top       VIRTUAL
D22           1N4148              D3_hybrid_common_hole_conne.. 4.3250     83.8562    4.3250     83.8562       0.0    top       VIRTUAL
D37           1N4148              D3_hybrid_common_hole_conne.. -119.9750  -42.2938   -119.9750  -42.2938      0.0    top       VIRTUAL
HM1           CaseHole            spacer_m2                     22.9650    77.9962    0.0000     0.0000        0.0    top       VIRTUAL
D58           1N4148              D3_hybrid_common_hole_conne.. -66.0750   15.4062    -66.0750   15.4062       0.0    top       VIRTUAL
